Source:,/home/rafael/devel/mod-hw-duo/Duo_RC1A/Duo_BottomBoard_RC1A.sch
Date:,Wed 16 Jul 2014 18:13:17 BRT
Tool:,eeschema (2014-03-19 BZR 4756)-product
Component Count:,346

Individual Components:

Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet
,,QA12,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA13,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA14,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA15,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA16,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA17,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA18,BS870,Duo_Audio_HMI_RC1A:MOS_N_SOT23,Duo_Audio_HMI_RC1A:SOT23,
,,QA2,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA3,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA4,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA5,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA6,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA7,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA8,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,QA9,J113,Duo_BottomBoard_RC1A-cache:FET_N_TO92,Duo_Audio_HMI_RC1A:TO92_INLINE,
,,R1,10R,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,R10,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R11,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R12,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R13,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R14,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R15,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R16,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R17,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R18,180R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R19,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R2,10R,device:R,Duo_Audio_HMI_RC1A:SM0805,
,,R20,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R21,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R24,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R25,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R26,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R27,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R28,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R29,10k/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R3,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R30,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R31,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R32,0R/NC,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R33,1k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R34,47k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R35,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R36,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R37,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R38,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R39,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R4,100R,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R40,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R41,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
,,R42,10k,device:R,Duo_Audio_HMI_RC1A:SM0603,
